sigma	err_rms

0.56234132519	4.38988055511
0.659121559254	3.06143148547
0.772557893955	2.50560185016
0.905516882482	1.99452306745
1.06135841841	1.55420899358
1.24402064073	1.45025223623
1.45811945118	1.27410637718
1.7090651588	1.1884354033
2.00319919927	1.15289784786
2.34795438388	1.13596450411
2.75204272785	1.1276044751
3.22567560422	1.12361508396
3.7808217868	1.12174279855
4.43150990288	1.12075393347
5.1941829387	1.12007834484
6.08811375626	1.1195551937
7.13589212136	1.11919134612
8.3639955504	1.11899392575
9.80345840118	1.11893143111
11.4906561158	1.11895868744
13.4682244335	1.11902931594
15.7861368022	1.11909679089
18.502967215	1.11912582883
21.6873703839	1.11910843536
25.4198166545	1.11907019884
29.7946255036	1.11905939044
34.9223490069	1.11912391687
40.9325655062	1.11928607997
47.9771540738	1.11953075782
56.234132519	1.11984414358
